一,A00001
去,A00466
參,A00467
又,A00468
叉,A00469
友,A00470
及,A00471
反,A00472
取,A00473
叔,A00474
受,A00475
叛,A00476
叟,A00477
曼,A00478
叢,A00479
口,A00480
可,A00481
古,A00482
右,A00483
召,A00484
叮,A00485
叩,A00486
叨,A00487
叼,A00488
司,A00489
叵,A00490
叫,A00491
另,A00492
只,A00493
史,A00494
叱,A00495
台,A00496
句,A00497
叭,A00498
吉,A00499
吏,A00500
同,A00501
吊,A00502
吐,A00503
吁,A00504
吋,A00505
各,A00506
向,A00507
名,A00508
合,A00509
吃,A00510
后,A00511
吆,A00512
吒,A00513
吝,A00514
吭,A00515
吞,A00516
吾,A00517
否,A00518
呎,A00519
吧,A00520
呆,A00521
呃,A00522
吳,A00523
呈,A00524
呂,A00525
君,A00526
吩,A00527
告,A00528
吹,A00529
吻,A00530
吸,A00531
吮,A00532
吵,A00533
吶,A00534
吠,A00535
吼,A00536
呀,A00537
吱,A00538
含,A00539
吟,A00540
味,A00541
呵,A00542
咖,A00543
呸,A00544
咕,A00545
咀,A00546
呻,A00547
呷,A00548
咄,A00549
咒,A00550
咆,A00551
呼,A00552
咐,A00553
呱,A00554
呶,A00555
和,A00556
咚,A00557
呢,A00558
周,A00559
咋,A00560
命,A00561
咎,A00562
咬,A00563
哀,A00564
咨,A00565
哎,A00566
哉,A00567
咸,A00568
咦,A00569
咳,A00570
哇,A00571
哂,A00572
咽,A00573
咪,A00574
品,A00575
哄,A00576
哈,A00577
咯,A00578
咫,A00579
咱,A00580
咻,A00581
哨,A00582
唐,A00583
唁,A00584
唷,A00585
哼,A00586
哥,A00587
哲,A00588
唆,A00589
哺,A00590
唔,A00591
哩,A00592
哭,A00593
員,A00594
唉,A00595
哮,A00596
哪,A00597
哦,A00598
唧,A00599
商,A00600
啪,A00601
啦,A00602
啄,A00603
啞,A00604
啡,A00605
啃,A00606
啊,A00607
唱,A00608
啖,A00609
問,A00610
啕,A00611
唯,A00612
啤,A00613
唸,A00614
售,A00615
啜,A00616
唬,A00617
啣,A00618
唳,A00619
啻,A00620
喀,A00621
喧,A00622
啼,A00623
喊,A00624
喝,A00625
喘,A00626
喂,A00627
喜,A00628
喪,A00629
喔,A00630
喇,A00631
喋,A00632
喃,A00633
喳,A00634
單,A00635
喟,A00636
唾,A00637
喲,A00638
喚,A00639
喻,A00640
喬,A00641
喱,A00642
啾,A00643
喉,A00644
嗟,A00645
嗨,A00646
嗓,A00647
嗦,A00648
嗎,A00649
嗜,A00650
嗇,A00651
嗑,A00652
嗣,A00653
嗤,A00654
嗯,A00655
嗚,A00656
嗡,A00657
嗅,A00658
嗆,A00659
嗥,A00660
嗾,A00661
嘀,A00662
嘛,A00663
嘗,A00664
嗽,A00665
嘔,A00666
嘆,A00667
嘉,A00668
嘍,A00669
嘎,A00670
嗷,A00671
嘖,A00672
嘟,A00673
嘈,A00674
嘮,A00675
嘻,A00676
嘹,A00677
嘲,A00678
嘿,A00679
嘩,A00680
噓,A00681
噎,A00682
噗,A00683
噴,A00684
嘶,A00685
嘯,A00686
嘰,A00687
噙,A00688
噫,A00689
噹,A00690
噩,A00691
噤,A00692
噸,A00693
嘴,A00694
噪,A00695
器,A00696
噥,A00697
噱,A00698
噯,A00699
噬,A00700
噢,A00701
嚎,A00702
嚀,A00703
嚐,A00704
嚅,A00705
嚇,A00706
嚏,A00707
嚕,A00708
嚮,A00709
嚥,A00710
嚨,A00711
嚷,A00712
嚶,A00713
嚴,A00714
嚼,A00715
囁,A00716
囀,A00717
囂,A00718
囈,A00719
囊,A00720
囉,A00721
囌,A00722
囑,A00723
四,A00724
囚,A00725
因,A00726
回,A00727
囪,A00728
困,A00729
囤,A00730
固,A00731
圃,A00732
圈,A00733
國,A00734
圍,A00735
園,A00736
圓,A00737
團,A00738
圖,A00739
土,A00740
圳,A00741
地,A00742
在,A00743
圭,A00744
圬,A00745
圯,A00746
坊,A00747
坑,A00748
址,A00749
坍,A00750
均,A00751
坎,A00752
圾,A00753
坐,A00754
坏,A00755
垃,A00756
坷,A00757
坪,A00758
坩,A00759
坡,A00760
坦,A00761
坤,A00762
坼,A00763
垂,A00764
型,A00765
垠,A00766
垣,A00767
垢,A00768
城,A00769
垮,A00770
埂,A00771
埔,A00772
埋,A00773
埃,A00774
域,A00775
堅,A00776
堊,A00777
堆,A00778
埠,A00779
埤,A00780
基,A00781
堂,A00782
堵,A00783
執,A00784
培,A00785
堯,A00786
堪,A00787
場,A00788
堤,A00789
堰,A00790
報,A00791
堡,A00792
塞,A00793
塑,A00794
塘,A00795
塗,A00796
塚,A00797
塔,A00798
填,A00799
塌,A00800
塭,A00801
塊,A00802
塢,A00803
塵,A00804
塾,A00805
境,A00806
墓,A00807
墊,A00808
塹,A00809
墅,A00810
墀,A00811
墟,A00812
增,A00813
墳,A00814
墜,A00815
墮,A00816
壁,A00817
墾,A00818
壇,A00819
壅,A00820
壕,A00821
壓,A00822
壑,A00823
壙,A00824
壘,A00825
壞,A00826
壟,A00827
壢,A00828
壤,A00829
壩,A00830
士,A00831
壬,A00832
壯,A00833
壹,A00834
壺,A00835
壽,A00836
夏,A00837
夔,A00838
夕,A00839
外,A00840
夙,A00841
多,A00842
夜,A00843
夠,A00844
夥,A00845
夢,A00846
夤,A00847
大,A00848
天,A00849
夫,A00850
太,A00851
夭,A00852
央,A00853
失,A00854
夷,A00855
夸,A00856
夾,A00857
奉,A00858
奇,A00859
奈,A00860
奄,A00861
奔,A00862
奕,A00863
契,A00864
奏,A00865
奎,A00866
奐,A00867
套,A00868
奘,A00869
奚,A00870
奢,A00871
奠,A00872
奧,A00873
奪,A00874
奩,A00875
奮,A00876
女,A00877
奴,A00878
奶,A00879
妄,A00880
奸,A00881
妃,A00882
好,A00883
她,A00884
如,A00885
妁,A00886
妝,A00887
妒,A00888
妨,A00889
妞,A00890
妣,A00891
妙,A00892
妖,A00893
妍,A00894
妤,A00895
妓,A00896
妊,A00897
妥,A00898
妾,A00899
妻,A00900
委,A00901
妹,A00902
妮,A00903
姑,A00904
姆,A00905
姐,A00906
姍,A00907
始,A00908
姓,A00909
姊,A00910
妯,A00911
妳,A00912
姒,A00913
姜,A00914
姘,A00915
姿,A00916
姣,A00917
姨,A00918
娃,A00919
姥,A00920
姪,A00921
姚,A00922
姦,A00923
威,A00924
姻,A00925
娑,A00926
娘,A00927
娜,A00928
娟,A00929
娛,A00930
娓,A00931
姬,A00932
娠,A00933
娣,A00934
娩,A00935
娥,A00936
娌,A00937
娶,A00938
婁,A00939
婉,A00940
婦,A00941
婪,A00942
婀,A00943
娼,A00944
婢,A00945
婚,A00946
婆,A00947
婊,A00948
婷,A00949
媚,A00950
婿,A00951
媒,A00952
媛,A00953
嫁,A00954
嫉,A00955
嫌,A00956
媾,A00957
媽,A00958
媼,A00959
媳,A00960
嫂,A00961
媲,A00962
嫡,A00963
嫦,A00964
嫩,A00965
嫗,A00966
嫖,A00967
嫘,A00968
嫣,A00969
嬉,A00970
嫻,A00971
嬋,A00972
嫵,A00973
嬌,A00974
嬝,A00975
嬴,A00976
嬰,A00977
嬪,A00978
嬤,A00979
嬸,A00980
孀,A00981
子,A00982
孑,A00983
孓,A00984
孔,A00985
孕,A00986
字,A00987
存,A00988
孝,A00989
孜,A00990
孚,A00991
孟,A00992
孤,A00993
季,A00994
孩,A00995
孫,A00996
孰,A00997
孳,A00998
孱,A00999
孵,A01000
學,A01001
孺,A01002
孽,A01003
孿,A01004
它,A01005
宇,A01006
守,A01007
宅,A01008
安,A01009
完,A01010
宋,A01011
宏,A01012
宗,A01013
定,A01014
官,A01015
宜,A01016
宙,A01017
宛,A01018
宣,A01019
宦,A01020
室,A01021
客,A01022
宥,A01023
宰,A01024
害,A01025
家,A01026
宴,A01027
宮,A01028
宵,A01029
容,A01030
宸,A01031
寇,A01032
寅,A01033
寄,A01034
寂,A01035
宿,A01036
密,A01037
寒,A01038
富,A01039
寓,A01040
寐,A01041
寞,A01042
寧,A01043
寡,A01044
寥,A01045
實,A01046
寨,A01047
寢,A01048
寤,A01049
察,A01050
寮,A01051
寬,A01052
審,A01053
寫,A01054
寵,A01055
寶,A01056
寸,A01057
寺,A01058
封,A01059
射,A01060
尉,A01061
專,A01062
將,A01063
尊,A01064
尋,A01065
對,A01066
導,A01067
小,A01068
少,A01069
尖,A01070
尚,A01071
尤,A01072
尬,A01073
就,A01074
尷,A01075
尸,A01076
尺,A01077
尼,A01078
局,A01079
屁,A01080
尿,A01081
尾,A01082
屈,A01083
居,A01084
屆,A01085
屎,A01086
屏,A01087
屍,A01088
屋,A01089
屑,A01090
展,A01091
屐,A01092
屠,A01093
屜,A01094
屢,A01095
層,A01096
履,A01097
屬,A01098
屯,A01099
山,A01100
屹,A01101
岐,A01102
岑,A01103
岔,A01104
岌,A01105
岷,A01106
岡,A01107
岸,A01108
岩,A01109
岫,A01110
岱,A01111
岳,A01112
峙,A01113
峭,A01114
峽,A01115
峻,A01116
峪,A01117
峨,A01118
峰,A01119
島,A01120
崁,A01121
崇,A01122
崆,A01123
崎,A01124
崛,A01125
崖,A01126
崢,A01127
崑,A01128
崩,A01129
崔,A01130
崙,A01131
嵌,A01132
嵐,A01133
嵩,A01134
嶄,A01135
嶇,A01136
嶝,A01137
嶼,A01138
嶺,A01139
嶽,A01140
巍,A01141
巔,A01142
巒,A01143
巖,A01144
川,A01145
州,A01146
巢,A01147
工,A01148
巨,A01149
巧,A01150
左,A01151
巫,A01152
差,A01153
己,A01154
已,A01155
巳,A01156
巴,A01157
巷,A01158
巽,A01159
巾,A01160
市,A01161
布,A01162
帆,A01163
希,A01164
帘,A01165
帚,A01166
帖,A01167
帕,A01168
帛,A01169
帑,A01170
帝,A01171
帥,A01172
席,A01173
師,A01174
常,A01175
帶,A01176
帳,A01177
帷,A01178
幅,A01179
帽,A01180
幀,A01181
幌,A01182
幛,A01183
幣,A01184
幕,A01185
幗,A01186
幔,A01187
幢,A01188
幟,A01189
幫,A01190
干,A01191
平,A01192
并,A01193
年,A01194
幸,A01195
幹,A01196
幻,A01197
幼,A01198
幽,A01199
幾,A01200
序,A01201
庇,A01202
床,A01203
庚,A01204
店,A01205
府,A01206
底,A01207
庖,A01208
庠,A01209
度,A01210
庫,A01211
庭,A01212
座,A01213
康,A01214
庸,A01215
庶,A01216
庵,A01217
庾,A01218
廊,A01219
廁,A01220
廂,A01221
廉,A01222
廈,A01223
廓,A01224
廖,A01225
廢,A01226
廚,A01227
廟,A01228
廝,A01229
廣,A01230
廠,A01231
龐,A01232
廬,A01233
廳,A01234
廷,A01235
延,A01236
建,A01237
廿,A01238
弁,A01239
弄,A01240
弈,A01241
弊,A01242
式,A01243
弒,A01244
弓,A01245
弔,A01246
引,A01247
弘,A01248
弗,A01249
弛,A01250
弟,A01251
弦,A01252
弧,A01253
弩,A01254
弭,A01255
弱,A01256
張,A01257
強,A01258
弼,A01259
彆,A01260
彈,A01261
彌,A01262
彎,A01263
彗,A01264
彙,A01265
彝,A01266
彤,A01267
形,A01268
彥,A01269
彬,A01270
彩,A01271
彫,A01272
彭,A01273
彰,A01274
影,A01275
彷,A01276
役,A01277
往,A01278
征,A01279
彿,A01280
彼,A01281
很,A01282
待,A01283
徊,A01284
律,A01285
徇,A01286
後,A01287
徒,A01288
徑,A01289
徐,A01290
得,A01291
徙,A01292
從,A01293
徘,A01294
御,A01295
復,A01296
循,A01297
徨,A01298
徬,A01299
微,A01300
徹,A01301
德,A01302
徵,A01303
徽,A01304
心,A01305
必,A01306
忙,A01307
忖,A01308
忘,A01309
忌,A01310
志,A01311
忍,A01312
忱,A01313
快,A01314
忝,A01315
忠,A01316
忽,A01317
念,A01318
忿,A01319
怏,A01320
怔,A01321
怯,A01322
怵,A01323
怖,A01324
怪,A01325
怕,A01326
怡,A01327
性,A01328
怒,A01329
思,A01330
怠,A01331
急,A01332
怎,A01333
怨,A01334
恍,A01335
恰,A01336
恨,A01337
恢,A01338
恆,A01339
恃,A01340
恬,A01341
恫,A01342
恪,A01343
恤,A01344
恙,A01345
恣,A01346
恥,A01347
恐,A01348
恕,A01349
恭,A01350
恩,A01351
息,A01352
悄,A01353
悟,A01354
悚,A01355
悍,A01356
悔,A01357
悌,A01358
悅,A01359
悖,A01360
恿,A01361
患,A01362
悉,A01363
悠,A01364
您,A01365
惋,A01366
悴,A01367
惦,A01368
悽,A01369
情,A01370
悻,A01371
悵,A01372
惜,A01373
悼,A01374
惘,A01375
惕,A01376
惆,A01377
惟,A01378
悸,A01379
惚,A01380
惑,A01381
惡,A01382
悲,A01383
悶,A01384
惠,A01385
愜,A01386
愣,A01387
惺,A01388
愕,A01389
惰,A01390
惻,A01391
惴,A01392
慨,A01393
惱,A01394
愎,A01395
惶,A01396
愉,A01397
愀,A01398
愚,A01399
意,A01400
慈,A01401
感,A01402
想,A01403
愛,A01404
惹,A01405
愁,A01406
愈,A01407
慎,A01408
慌,A01409
慄,A01410
慍,A01411
愾,A01412
愴,A01413
愧,A01414
慇,A01415
愿,A01416
態,A01417
慷,A01418
慢,A01419
慣,A01420
慟,A01421
慚,A01422
慘,A01423
慶,A01424
慧,A01425
慮,A01426
慝,A01427
慕,A01428
憂,A01429
慼,A01430
慰,A01431
慫,A01432
慾,A01433
憧,A01434
憐,A01435
憫,A01436
憎,A01437
憬,A01438
憚,A01439
憤,A01440
憔,A01441
憲,A01442
憑,A01443
憩,A01444
憊,A01445
懍,A01446
憶,A01447
憾,A01448
懂,A01449
懊,A01450
懈,A01451
應,A01452
懇,A01453
懦,A01454
懣,A01455
懲,A01456
懷,A01457
懶,A01458
懵,A01459
懸,A01460
懺,A01461
懼,A01462
懾,A01463
懿,A01464
戀,A01465
戈,A01466
戊,A01467
戎,A01468
戌,A01469
戍,A01470
成,A01471
戒,A01472
我,A01473
或,A01474
戕,A01475
戚,A01476
戛,A01477
戟,A01478
戡,A01479
戢,A01480
截,A01481
戮,A01482
戰,A01483
戲,A01484
戴,A01485
戳,A01486
戶,A01487
房,A01488
戾,A01489
所,A01490
扁,A01491
扇,A01492
扈,A01493
扉,A01494
手,A01495
才,A01496
扎,A01497
打,A01498
扔,A01499
扒,A01500
扣,A01501
扛,A01502
托,A01503
抄,A01504
抗,A01505
抖,A01506
技,A01507
扶,A01508
抉,A01509
扭,A01510
把,A01511
扼,A01512
找,A01513
批,A01514
扳,A01515
抒,A01516
扯,A01517
折,A01518
扮,A01519
投,A01520
抓,A01521
抑,A01522
承,A01523
拉,A01524
拌,A01525
拄,A01526
抿,A01527
拂,A01528
抹,A01529
拒,A01530
招,A01531
披,A01532
拓,A01533
拔,A01534
拋,A01535
拈,A01536
抨,A01537
抽,A01538
押,A01539
拐,A01540
拙,A01541
拇,A01542
拍,A01543
抵,A01544
拚,A01545
抱,A01546
拘,A01547
拖,A01548
拗,A01549
拆,A01550
抬,A01551
拎,A01552
拜,A01553
挖,A01554
按,A01555
拼,A01556
拭,A01557
持,A01558
拮,A01559
拽,A01560
指,A01561
拱,A01562
拷,A01563
拯,A01564
括,A01565
拾,A01566
拴,A01567
挑,A01568
拳,A01569
挈,A01570
拿,A01571
捎,A01572
挾,A01573
振,A01574
捕,A01575
捂,A01576
捆,A01577
捏,A01578
捉,A01579
挺,A01580
捐,A01581
挽,A01582
挪,A01583
挫,A01584
挨,A01585
掠,A01586
控,A01587
捲,A01588
掖,A01589
探,A01590
接,A01591
捷,A01592
捧,A01593
掘,A01594
措,A01595
捱,A01596
掩,A01597
掉,A01598
掃,A01599
掛,A01600
捫,A01601
推,A01602
掄,A01603
授,A01604
掙,A01605
採,A01606
掬,A01607
排,A01608
掏,A01609
掀,A01610
捻,A01611
捩,A01612
捨,A01613
掣,A01614
掌,A01615
描,A01616
揀,A01617
揩,A01618
揉,A01619
揆,A01620
揍,A01621
插,A01622
揣,A01623
提,A01624
握,A01625
揖,A01626
揭,A01627
揮,A01628
捶,A01629
援,A01630
揪,A01631
換,A01632
摒,A01633
揚,A01634
搓,A01635
搾,A01636
搞,A01637
搪,A01638
搭,A01639
搽,A01640
搬,A01641
搏,A01642
搜,A01643
搔,A01644
損,A01645
搶,A01646
搖,A01647
搗,A01648
撇,A01649
摘,A01650
摔,A01651
撤,A01652
摸,A01653
摟,A01654
摺,A01655
摑,A01656
摧,A01657
摩,A01658
摯,A01659
摹,A01660
撞,A01661
撲,A01662
撈,A01663
撐,A01664
撰,A01665
撥,A01666
撓,A01667
撕,A01668
撩,A01669
撒,A01670
撮,A01671
播,A01672
撫,A01673
撚,A01674
撬,A01675
擅,A01676
擁,A01677
擋,A01678
撻,A01679
撼,A01680
據,A01681
擄,A01682
擇,A01683
擂,A01684
操,A01685
撿,A01686
擒,A01687
擔,A01688
擎,A01689
擊,A01690
擘,A01691
擠,A01692
擰,A01693
擦,A01694
擬,A01695
擱,A01696
擴,A01697
擲,A01698
擾,A01699
攆,A01700
擺,A01701
擻,A01702
攀,A01703
攏,A01704
攘,A01705
攔,A01706
攙,A01707
攝,A01708
攜,A01709
攤,A01710
攣,A01711
攫,A01712
攪,A01713
攬,A01714
支,A01715
收,A01716
改,A01717
攻,A01718
放,A01719
政,A01720
故,A01721
效,A01722
敝,A01723
敖,A01724
救,A01725
教,A01726
敗,A01727
啟,A01728
敏,A01729
敘,A01730
敞,A01731
敦,A01732
敢,A01733
散,A01734
敬,A01735
敲,A01736
敵,A01737
敷,A01738
數,A01739
整,A01740
斂,A01741
斃,A01742
文,A01743
斑,A01744
斐,A01745
斗,A01746
料,A01747
斜,A01748
斟,A01749
斡,A01750
斤,A01751
斥,A01752
斧,A01753
斫,A01754
斬,A01755
斯,A01756
新,A01757
斷,A01758
方,A01759
於,A01760
施,A01761
旁,A01762
旅,A01763
族,A01764
旋,A01765
旌,A01766
旎,A01767
旗,A01768
旖,A01769
既,A01770
日,A01771
旦,A01772
早,A01773
旨,A01774
旬,A01775
旭,A01776
旱,A01777
旺,A01778
昔,A01779
易,A01780
昌,A01781
昆,A01782
昂,A01783
明,A01784
昀,A01785
昏,A01786
春,A01787
昭,A01788
映,A01789
昧,A01790
是,A01791
星,A01792
昨,A01793
時,A01794
晉,A01795
晏,A01796
晃,A01797
晒,A01798
晌,A01799
晝,A01800
晚,A01801
晤,A01802
晨,A01803
晦,A01804
普,A01805
晰,A01806
晴,A01807
晶,A01808
景,A01809
暑,A01810
智,A01811
暗,A01812
暉,A01813
暇,A01814
暈,A01815
暖,A01816
暢,A01817
暨,A01818
暮,A01819
暫,A01820
暴,A01821
曆,A01822
曉,A01823
暹,A01824
曙,A01825
曖,A01826
曠,A01827
曝,A01828
曦,A01829
曰,A01830
曲,A01831
曳,A01832
更,A01833
曷,A01834
書,A01835
曹,A01836
勗,A01837
曾,A01838
替,A01839
會,A01840
月,A01841
有,A01842
服,A01843
朋,A01844
朔,A01845
朕,A01846
朗,A01847
望,A01848
期,A01849
朝,A01850
朦,A01851
朧,A01852
木,A01853
朮,A01854
本,A01855
未,A01856
末,A01857
札,A01858
朽,A01859
朴,A01860
朱,A01861
朵,A01862
束,A01863
李,A01864
杏,A01865
材,A01866
村,A01867
杜,A01868
杖,A01869
杞,A01870
杉,A01871
杭,A01872
枋,A01873
枕,A01874
東,A01875
果,A01876
杳,A01877
杷,A01878
枇,A01879
枝,A01880
林,A01881
杯,A01882
杰,A01883
板,A01884
枉,A01885
松,A01886
析,A01887
杵,A01888
枚,A01889
柿,A01890
染,A01891
柱,A01892
柔,A01893
某,A01894
柬,A01895
架,A01896
枯,A01897
柵,A01898
柩,A01899
柯,A01900
柄,A01901
柑,A01902
枴,A01903
柚,A01904
查,A01905
枸,A01906
柏,A01907
柞,A01908
柳,A01909
校,A01910
核,A01911
案,A01912
框,A01913
桓,A01914
根,A01915
桂,A01916
桔,A01917
栩,A01918
梳,A01919
栗,A01920
桌,A01921
桑,A01922
栽,A01923
柴,A01924
桐,A01925
桀,A01926
格,A01927
桃,A01928
株,A01929
桅,A01930
栓,A01931
梁,A01932
梯,A01933
梢,A01934
梓,A01935
梵,A01936
桿,A01937
桶,A01938
梱,A01939
梧,A01940
梗,A01941
械,A01942
梃,A01943
棄,A01944
梭,A01945
梆,A01946
梅,A01947
梔,A01948
條,A01949
梨,A01950
梟,A01951
棺,A01952
棕,A01953
棠,A01954
棘,A01955
棗,A01956
椅,A01957
棟,A01958
棵,A01959
森,A01960
棧,A01961
棹,A01962
棒,A01963
棲,A01964
棣,A01965
棋,A01966
棍,A01967
植,A01968
椒,A01969
椎,A01970
棉,A01971
棚,A01972
榔,A01973
業,A01974
楚,A01975
楷,A01976
楠,A01977
楔,A01978
極,A01979
椰,A01980
概,A01981
楊,A01982
楨,A01983
楫,A01984
楞,A01985
楓,A01986
楹,A01987
榆,A01988
榜,A01989
榨,A01990
榕,A01991
槁,A01992
榮,A01993
槓,A01994
構,A01995
榛,A01996
榷,A01997
榻,A01998
榫,A01999
榴,A02000
槐,A02001
槍,A02002
榭,A02003
槌,A02004
樣,A02005
樟,A02006
槨,A02007
樁,A02008
樞,A02009
標,A02010
槽,A02011
模,A02012
樓,A02013
樊,A02014
槳,A02015
樂,A02016
樅,A02017
樽,A02018
樸,A02019
樺,A02020
橙,A02021
橫,A02022
橘,A02023
樹,A02024
橄,A02025
橢,A02026
橡,A02027
橋,A02028
橇,A02029
樵,A02030
機,A02031
檀,A02032
檔,A02033
檄,A02034
檢,A02035
檜,A02036
櫛,A02037
檳,A02038
檬,A02039
櫃,A02040
檻,A02041
檸,A02042
櫂,A02043
櫥,A02044
櫝,A02045
櫚,A02046
櫓,A02047
櫻,A02048
欄,A02049
權,A02050
